#	timestep	msd
1	0.00219535
2	0.00872296
3	0.01941373
4	0.03400358
5	0.05215562
6	0.07348516
7	0.09758422
8	0.12404321
9	0.15246809
10	0.18249341
11	0.21379179
12	0.24607993
13	0.27912128
14	0.31272584
15	0.34674804
16	0.38108287
17	0.41566084
18	0.45044172
19	0.48540727
20	0.52055345
21	0.55588267
22	0.59139759
23	0.62709656
24	0.66297033
25	0.69899990
26	0.73515602
27	0.77140050
28	0.80768867
29	0.84397215
30	0.88020183
31	0.91633040
32	0.95231529
33	0.98812113
34	1.02372145
35	1.05909930
36	1.09424631
37	1.12916105
38	1.16384727
39	1.19831268
40	1.23256757
41	1.26662367
42	1.30049272
43	1.33418508
44	1.36770870
45	1.40106859
46	1.43426690
47	1.46730360
48	1.50017702
49	1.53288452
50	1.56542347
51	1.59779220
52	1.62999087
53	1.66202249
54	1.69389338
55	1.72561350
56	1.75719628
57	1.78865908
58	1.82002328
59	1.85131422
60	1.88255959
61	1.91378744
62	1.94502422
63	1.97629426
64	2.00761897
65	2.03901650
66	2.07050096
67	2.10208203
68	2.13376475
69	2.16554936
70	2.19743202
71	2.22940564
72	2.26146063
73	2.29358540
74	2.32576695
75	2.35799187
76	2.39024642
77	2.42251622
78	2.45478638
79	2.48704309
80	2.51927480
81	2.55147275
82	2.58363043
83	2.61574275
84	2.64780456
85	2.67980892
86	2.71174691
87	2.74360814
88	2.77538232
89	2.80706093
90	2.83863809
91	2.87011041
92	2.90147597
93	2.93273376
94	2.96388385
95	2.99492760
96	3.02586820
97	3.05671040
98	3.08746082
99	3.11812743
100	3.14871900
101	3.17924452
102	3.20971226
103	3.24012906
104	3.27049987
105	3.30082745
106	3.33111237
107	3.36135333
108	3.39154785
109	3.42169249
110	3.45178335
111	3.48181606
112	3.51178593
113	3.54168876
114	3.57152092
115	3.60127922
116	3.63096061
117	3.66056233
118	3.69008264
119	3.71952127
120	3.74888013
121	3.77816310
122	3.80737533
123	3.83652222
124	3.86560904
125	3.89464133
126	3.92362587
127	3.95257078
128	3.98148442
129	4.01037406
130	4.03924508
131	4.06810109
132	4.09694491
133	4.12577935
134	4.15460792
135	4.18343586
136	4.21227014
137	4.24111972
138	4.26999550
139	4.29890942
140	4.32787185
141	4.35689082
142	4.38597225
143	4.41512028
144	4.44433726
145	4.47362377
146	4.50297833
147	4.53239670
148	4.56187159
149	4.59139353
150	4.62095190
151	4.65053619
152	4.68013656
153	4.70974454
154	4.73935295
155	4.76895618
156	4.79855026
157	4.82813230
158	4.85769930
159	4.88724764
160	4.91677266
161	4.94626891
162	4.97573072
163	5.00515281
164	5.03453088
165	5.06386287
166	5.09314940
167	5.12239398
168	5.15160152
169	5.18077610
170	5.20991995
171	5.23903357
172	5.26811750
173	5.29717342
174	5.32620432
175	5.35521348
176	5.38420415
177	5.41317953
178	5.44214287
179	5.47109776
180	5.50004813
181	5.52899851
182	5.55795422
183	5.58692159
184	5.61590889
185	5.64492551
186	5.67398141
187	5.70308554
188	5.73224496
189	5.76146421
190	5.79074579
191	5.82009043
192	5.84949759
193	5.87896535
194	5.90849049
195	5.93806809
196	5.96769101
197	5.99735016
198	6.02703460
199	6.05673248
200	6.08643265
201	6.11612581
202	6.14580525
203	6.17546715
204	6.20511053
205	6.23473636
206	6.26434774
207	6.29394976
208	6.32354893
209	6.35315221
210	6.38276478
211	6.41238831
212	6.44202131
213	6.47166053
214	6.50130198
215	6.53094242
216	6.56057910
217	6.59020938
218	6.61983030
219	6.64943914
220	6.67903269
221	6.70860723
222	6.73815836
223	6.76768021
224	6.79716587
225	6.82660802
226	6.85599973
227	6.88533603
228	6.91461488
229	6.94383765
230	6.97300868
231	7.00213543
232	7.03122690
233	7.06029228
234	7.08933921
235	7.11837277
236	7.14739533
237	7.17640640
238	7.20540361
239	7.23438360
240	7.26334256
241	7.29227660
242	7.32118214
243	7.35005622
244	7.37889650
245	7.40770239
246	7.43647504
247	7.46521792
248	7.49393645
249	7.52263776
250	7.55132930
251	7.58001842
252	7.60871040
253	7.63740768
254	7.66610964
255	7.69481331
256	7.72351342
257	7.75220256
258	7.78087128
259	7.80950805
260	7.83810082
261	7.86663718
262	7.89510610
263	7.92349827
264	7.95180635
265	7.98002397
266	8.00814537
267	8.03616556
268	8.06407995
269	8.09188514
270	8.11957969
271	8.14716506
272	8.17464633
273	8.20203234
274	8.22933461
275	8.25656633
276	8.28374271
277	8.31087975
278	8.33799316
279	8.36509681
280	8.39220114
281	8.41931310
282	8.44643754
283	8.47357806
284	8.50073789
285	8.52791952
286	8.55512517
287	8.58235646
288	8.60961376
289	8.63689670
290	8.66420515
291	8.69154029
292	8.71890437
293	8.74630067
294	8.77373167
295	8.80119768
296	8.82869699
297	8.85622662
298	8.88378399
299	8.91136895
300	8.93898578
301	8.96664340
302	8.99435461
303	9.02213437
304	9.04999751
305	9.07795659
306	9.10602069
307	9.13419488
308	9.16248106
309	9.19087873
310	9.21938522
311	9.24799632
312	9.27670639
313	9.30550970
314	9.33440191
315	9.36337996
316	9.39244319
317	9.42159308
318	9.45083291
319	9.48016692
320	9.50959875
321	9.53912968
322	9.56875798
323	9.59847911
324	9.62828683
325	9.65817321
326	9.68813022
327	9.71815047
328	9.74822779
329	9.77835724
330	9.80853518
331	9.83875920
332	9.86902762
333	9.89933914
334	9.92969265
335	9.96008671
336	9.99051854
337	10.02098374
338	10.05147673
339	10.08199184
340	10.11252472
341	10.14307314
342	10.17363643
343	10.20421541
344	10.23481180
345	10.26542798
346	10.29606612
347	10.32672877
348	10.35741851
349	10.38813742
350	10.41888541
351	10.44966069
352	10.48045841
353	10.51127092
354	10.54208698
355	10.57289332
356	10.60367486
357	10.63441668
358	10.66510629
359	10.69573456
360	10.72629747
361	10.75679569
362	10.78723172
363	10.81760887
364	10.84793105
365	10.87820420
366	10.90843779
367	10.93864539
368	10.96884369
369	10.99905067
370	11.02928116
371	11.05954401
372	11.08984200
373	11.12017281
374	11.15052985
375	11.18090467
376	11.21128762
377	11.24166840
378	11.27203516
379	11.30237401
380	11.33266880
381	11.36290174
382	11.39305464
383	11.42311199
384	11.45306291
385	11.48290275
386	11.51263370
387	11.54226422
388	11.57180742
389	11.60127885
390	11.63069340
391	11.66006427
392	11.68940205
393	11.71871433
394	11.74800557
395	11.77727693
396	11.80652508
397	11.83574328
398	11.86492063
399	11.89404346
400	11.92309550
401	11.95205873
402	11.98091507
403	12.00964923
404	12.03825114
405	12.06671644
406	12.09504780
407	12.12325452
408	12.15135055
409	12.17935073
410	12.20726539
411	12.23509784
412	12.26284380
413	12.29049636
414	12.31805071
415	12.34550889
416	12.37288449
417	12.40019871
418	12.42747339
419	12.45472758
420	12.48197844
421	12.50924047
422	12.53652306
423	12.56382879
424	12.59115531
425	12.61849392
426	12.64583052
427	12.67314736
428	12.70042656
429	12.72765065
430	12.75480499
431	12.78187749
432	12.80885897
433	12.83574169
