#	timestep	msd
1	0.00215914
2	0.00858501
3	0.01912719
4	0.03354910
5	0.05154653
6	0.07276904
7	0.09684158
8	0.12338414
9	0.15202844
10	0.18243092
11	0.21428152
12	0.24730868
13	0.28128189
14	0.31601194
15	0.35134947
16	0.38718151
17	0.42342689
18	0.46003109
19	0.49696090
20	0.53419876
21	0.57173705
22	0.60957267
23	0.64770233
24	0.68611881
25	0.72480814
26	0.76374770
27	0.80290586
28	0.84224260
29	0.88171156
30	0.92126231
31	0.96084319
32	1.00040369
33	1.03989659
34	1.07927960
35	1.11851647
36	1.15757748
37	1.19643969
38	1.23508682
39	1.27350894
40	1.31170184
41	1.34966580
42	1.38740491
43	1.42492627
44	1.46223938
45	1.49935527
46	1.53628585
47	1.57304372
48	1.60964151
49	1.64609147
50	1.68240506
51	1.71859300
52	1.75466570
53	1.79063355
54	1.82650758
55	1.86229996
56	1.89802438
57	1.93369648
58	1.96933364
59	2.00495429
60	2.04057654
61	2.07621723
62	2.11189213
63	2.14761629
64	2.18340421
65	2.21926943
66	2.25522419
67	2.29127934
68	2.32744422
69	2.36372647
70	2.40013226
71	2.43666646
72	2.47333313
73	2.51013519
74	2.54707370
75	2.58414773
76	2.62135425
77	2.65868832
78	2.69614356
79	2.73371224
80	2.77138511
81	2.80915163
82	2.84700096
83	2.88492262
84	2.92290718
85	2.96094641
86	2.99903334
87	3.03716234
88	3.07532922
89	3.11353128
90	3.15176707
91	3.19003669
92	3.22834152
93	3.26668400
94	3.30506765
95	3.34349648
96	3.38197535
97	3.42050886
98	3.45910123
99	3.49775622
100	3.53647642
101	3.57526434
102	3.61412240
103	3.65305263
104	3.69205653
105	3.73113454
106	3.77028641
107	3.80951143
108	3.84880877
109	3.88817754
110	3.92761624
111	3.96712187
112	4.00669015
113	4.04631610
114	4.08599443
115	4.12572046
116	4.16549120
117	4.20530645
118	4.24516953
119	4.28508595
120	4.32505987
121	4.36509225
122	4.40518194
123	4.44532626
124	4.48552228
125	4.52576707
126	4.56605780
127	4.60639141
128	4.64676409
129	4.68717144
130	4.72760871
131	4.76807103
132	4.80855394
133	4.84905400
134	4.88956975
135	4.93010285
136	4.97065743
137	5.01123806
138	5.05184873
139	5.09249255
140	5.13317063
141	5.17388156
142	5.21462316
143	5.25539000
144	5.29617885
145	5.33698209
146	5.37779793
147	5.41862540
148	5.45946548
149	5.50032058
150	5.54119450
151	5.58209131
152	5.62301501
153	5.66396976
154	5.70495988
155	5.74598984
156	5.78706391
157	5.82818504
158	5.86935353
159	5.91056672
160	5.95181938
161	5.99310464
162	6.03441470
163	6.07574164
164	6.11707858
165	6.15841996
166	6.19976167
167	6.24110103
168	6.28243692
169	6.32376862
170	6.36509552
171	6.40641593
172	6.44772733
173	6.48902688
174	6.53031209
175	6.57158123
176	6.61283409
177	6.65407195
178	6.69529786
179	6.73651420
180	6.77772153
181	6.81891825
182	6.86010169
183	6.90126879
184	6.94241706
185	6.98354456
186	7.02465045
187	7.06573382
188	7.10679397
189	7.14783052
190	7.18884314
191	7.22983222
192	7.27079868
193	7.31174427
194	7.35267189
195	7.39358546
196	7.43448883
197	7.47538409
198	7.51626971
199	7.55714005
200	7.59798542
201	7.63879367
202	7.67955257
203	7.72025185
204	7.76088363
205	7.80144212
206	7.84192337
207	7.88232491
208	7.92264443
209	7.96287969
210	8.00302904
211	8.04309185
212	8.08306824
213	8.12295964
214	8.16276922
215	8.20250203
216	8.24216478
217	8.28176580
218	8.32131494
219	8.36082352
220	8.40030408
221	8.43977013
222	8.47923583
223	8.51871428
224	8.55821644
225	8.59775055
226	8.63732179
227	8.67693175
228	8.71657986
229	8.75626413
230	8.79598264
231	8.83573370
232	8.87551541
233	8.91532679
234	8.95516870
235	8.99504244
236	9.03494588
237	9.07487261
238	9.11481377
239	9.15475927
240	9.19469903
241	9.23462343
242	9.27452270
243	9.31438668
244	9.35420531
245	9.39396968
246	9.43367330
247	9.47331231
248	9.51288614
249	9.55239728
250	9.59185016
251	9.63125053
252	9.67060426
253	9.70991545
254	9.74918631
255	9.78841623
256	9.82760251
257	9.86674151
258	9.90583095
259	9.94487016
260	9.98385932
261	10.02279783
262	10.06168304
263	10.10051076
264	10.13927668
265	10.17797828
266	10.21661524
267	10.25519108
268	10.29371324
269	10.33219090
270	10.37063338
271	10.40904872
272	10.44744456
273	10.48582796
274	10.52420593
275	10.56258431
276	10.60096738
277	10.63935695
278	10.67775344
279	10.71615655
280	10.75456597
281	10.79298242
282	10.83140849
283	10.86984804
284	10.90830536
285	10.94678388
286	10.98528622
287	11.02381484
288	11.06237317
289	11.10096541
290	11.13959595
291	11.17826803
292	11.21698301
293	11.25574041
294	11.29453812
295	11.33337291
296	11.37224204
297	11.41114421
298	11.45008003
299	11.48905258
300	11.52806660
301	11.56712824
302	11.60624483
303	11.64542412
304	11.68467374
305	11.72400008
306	11.76340700
307	11.80289486
308	11.84246013
309	11.88209432
310	11.92178407
311	11.96151243
312	12.00126167
313	12.04101671
314	12.08076502
315	12.12049724
316	12.16020846
317	12.19989636
318	12.23956099
319	12.27920393
320	12.31882695
321	12.35843143
322	12.39801806
323	12.43758668
324	12.47713701
325	12.51666926
326	12.55618489
327	12.59568641
328	12.63517755
329	12.67466303
330	12.71414756
331	12.75363556
332	12.79313054
333	12.83263465
334	12.87214880
335	12.91167310
336	12.95120627
337	12.99074617
338	13.03029007
339	13.06983490
340	13.10937662
341	13.14890933
342	13.18842608
343	13.22792002
344	13.26738497
345	13.30681717
346	13.34621471
347	13.38557658
348	13.42490235
349	13.46419204
350	13.50344609
351	13.54266591
352	13.58185417
353	13.62101442
354	13.66015081
355	13.69926736
356	13.73836754
357	13.77745512
358	13.81653491
359	13.85561396
360	13.89470184
361	13.93381116
362	13.97295474
363	14.01214292
364	14.05138076
365	14.09066670
366	14.12999281
367	14.16934523
368	14.20870502
369	14.24805043
370	14.28735846
371	14.32660707
372	14.36577666
373	14.40485076
374	14.44381578
375	14.48266212
376	14.52138336
377	14.55997557
378	14.59843659
379	14.63676541
380	14.67496388
381	14.71303797
382	14.75099818
383	14.78886016
384	14.82664372
385	14.86437225
386	14.90207209
387	14.93977154
388	14.97749728
389	15.01527241
390	15.05311496
391	15.09103801
392	15.12905007
393	15.16715551
394	15.20535463
395	15.24364314
396	15.28201262
397	15.32045114
398	15.35894262
399	15.39746731
400	15.43600191
401	15.47452323
402	15.51301074
403	15.55144947
404	15.58983170
405	15.62815310
406	15.66640848
407	15.70459151
408	15.74269616
409	15.78071948
410	15.81866268
411	15.85653188
412	15.89433836
413	15.93209797
414	15.96982986
415	16.00755491
416	16.04529431
417	16.08306820
418	16.12089517
419	16.15879031
420	16.19676471
421	16.23482634
422	16.27298158
423	16.31123564
424	16.34959285
425	16.38805730
426	16.42663235
427	16.46532084
428	16.50412356
429	16.54303871
430	16.58206289
431	16.62119153
432	16.66041917
433	16.69974024
434	16.73914892
435	16.77863808
436	16.81819799
437	16.85781765
438	16.89748636
439	16.93719558
440	16.97693949
441	17.01671430
442	17.05651826
443	17.09635212
444	17.13621724
445	17.17611322
446	17.21603645
447	17.25598040
448	17.29593572
449	17.33589197
450	17.37584000
451	17.41577178
452	17.45568169
453	17.49556768
454	17.53543179
455	17.57528176
456	17.61512971
457	17.65498864
458	17.69486843
459	17.73477383
460	17.77470500
461	17.81465861
462	17.85463024
463	17.89461602
464	17.93461555
465	17.97463132
466	18.01466901
467	18.05473739
468	18.09484450
469	18.13499651
470	18.17519684
471	18.21544634
472	18.25574217
473	18.29607831
474	18.33644447
475	18.37682786
476	18.41721529
477	18.45759608
478	18.49796279
479	18.53831233
480	18.57864375
481	18.61895685
482	18.65925032
483	18.69952105
484	18.73976540
485	18.77997728
486	18.82014961
487	18.86027284
488	18.90033571
489	18.94032670
490	18.98023404
491	19.02004694
492	19.05975501
493	19.09935003
494	19.13882485
495	19.17817421
496	19.21739822
497	19.25650278
498	19.29549981
499	19.33440571
500	19.37324026
501	19.41202644
502	19.45078861
503	19.48955205
504	19.52834290
505	19.56718583
506	19.60610115
507	19.64510204
508	19.68419219
509	19.72336530
510	19.76260668
511	19.80189471
512	19.84120438
513	19.88050787
514	19.91977561
515	19.95897704
516	19.99808147
517	20.03706140
518	20.07589377
519	20.11456105
520	20.15305057
521	20.19135448
522	20.22946813
523	20.26738870
524	20.30511455
525	20.34264552
526	20.37998602
527	20.41714653
528	20.45414271
529	20.49099352
530	20.52771922
531	20.56433897
532	20.60086844
533	20.63731870
534	20.67369566
535	20.71000100
536	20.74623158
537	20.78237919
538	20.81843157
539	20.85437574
540	20.89020165
541	20.92590657
542	20.96149719
543	20.99699138
544	21.03241874
545	21.06781616
546	21.10321919
547	21.13865804
548	21.17415644
549	21.20973186
550	21.24539816
551	21.28116530
552	21.31703988
553	21.35302416
554	21.38911409
555	21.42530084
556	21.46157398
557	21.49792383
558	21.53434266
559	21.57082594
560	21.60736980
561	21.64396974
562	21.68061828
563	21.71730350
564	21.75400987
565	21.79071598
566	21.82739593
567	21.86402092
568	21.90056084
569	21.93698947
570	21.97328486
571	22.00943227
572	22.04542226
573	22.08125063
574	22.11691477
575	22.15241113
576	22.18773704
577	22.22289534
578	22.25789785
579	22.29276598
580	22.32752944
581	22.36222062
582	22.39686685
583	22.43148490
584	22.46608219
585	22.50065962
586	22.53521504
587	22.56974538
588	22.60424913
589	22.63872685
590	22.67318236
591	22.70762042
592	22.74204689
593	22.77646725
594	22.81088666
595	22.84531065
596	22.87974565
597	22.91420236
598	22.94869502
599	22.98323763
600	23.01783685
601	23.05248733
602	23.08717453
603	23.12187656
604	23.15656634
605	23.19121633
606	23.22580272
607	23.26030655
608	23.29471243
609	23.32900772
610	23.36318293
611	23.39723183
612	23.43115137
613	23.46494108
614	23.49860239
615	23.53213780
616	23.56554989
617	23.59883853
618	23.63200177
619	23.66503716
620	23.69794114
621	23.73071221
622	23.76335308
623	23.79587308
624	23.82828939
625	23.86062743
626	23.89291861
627	23.92519490
628	23.95748450
629	23.98981068
630	24.02218833
631	24.05462579
632	24.08712566
633	24.11968633
634	24.15230534
635	24.18497977
636	24.21770621
637	24.25048175
638	24.28330311
639	24.31616690
640	24.34907208
641	24.38201904
642	24.41501073
643	24.44805202
644	24.48114796
645	24.51430376
646	24.54752489
647	24.58081519
648	24.61417992
649	24.64762808
650	24.68117698
651	24.71484996
652	24.74867437
653	24.78267445
654	24.81686670
655	24.85125928
656	24.88584995
657	24.92062995
658	24.95558535
659	24.99069944
660	25.02595074
661	25.06131641
662	25.09677302
663	25.13229812
664	25.16787161
665	25.20347674
666	25.23909796
667	25.27472043
668	25.31032872
669	25.34590849
670	25.38144671
671	25.41693128
672	25.45234598
673	25.48766783
674	25.52286534
675	25.55789833
676	25.59271910
677	25.62727453
678	25.66151375
679	25.69539239
680	25.72887485
681	25.76193460
682	25.79455776
683	25.82674080
684	25.85849317
685	25.88983471
686	25.92079833
687	25.95142792
688	25.98177821
689	26.01190727
690	26.04187221
691	26.07172532
692	26.10151190
693	26.13126660
694	26.16101522
695	26.19077687
696	26.22056310
697	26.25037750
698	26.28022056
699	26.31008662
700	26.33996245
701	26.36982708
702	26.39965473
703	26.42941742
704	26.45908774
705	26.48864264
706	26.51806717
707	26.54735326
708	26.57650011
709	26.60551182
710	26.63439755
711	26.66316915
712	26.69184458
713	26.72044434
714	26.74898607
715	26.77748316
716	26.80594487
717	26.83437658
718	26.86278466
719	26.89117714
720	26.91956727
721	26.94796993
722	26.97640267
723	27.00488153
724	27.03342360
725	27.06204639
726	27.09076951
727	27.11961285
728	27.14859551
729	27.17772955
730	27.20701947
731	27.23645998
732	27.26604059
733	27.29575027
734	27.32558184
735	27.35552787
736	27.38557694
737	27.41571791
738	27.44594575
739	27.47626183
740	27.50667523
741	27.53720044
742	27.56784746
743	27.59861817
744	27.62950693
745	27.66049942
746	27.69157674
747	27.72271649
748	27.75389271
749	27.78507998
750	27.81625628
751	27.84740457
752	27.87851738
753	27.90959290
754	27.94063281
755	27.97163822
756	28.00260982
757	28.03355160
758	28.06447133
759	28.09538091
760	28.12629594
761	28.15722960
762	28.18818918
763	28.21917304
764	28.25017396
765	28.28118081
766	28.31218432
767	28.34318091
768	28.37417110
769	28.40515170
770	28.43611356
771	28.46704317
772	28.49792325
773	28.52873709
774	28.55946714
775	28.59009565
776	28.62060259
777	28.65096197
778	28.68115022
779	28.71115069
780	28.74095214
781	28.77054876
782	28.79993692
783	28.82911323
784	28.85807799
785	28.88683665
786	28.91540491
787	28.94380307
788	28.97205378
789	29.00018041
790	29.02820744
791	29.05616213
792	29.08407960
793	29.11200454
794	29.13999178
795	29.16810139
796	29.19638943
797	29.22489913
798	29.25365137
799	29.28264359
800	29.31184718
801	29.34121640
802	29.37069585
803	29.40022833
804	29.42975522
805	29.45923074
806	29.48862365
807	29.51791775
808	29.54709831
809	29.57614001
810	29.60501615
811	29.63370471
812	29.66219805
813	29.69049789
814	29.71861658
815	29.74657849
816	29.77441788
817	29.80218644
818	29.82994974
819	29.85778171
820	29.88575754
821	29.91395092
822	29.94243118
823	29.97125960
824	30.00048821
825	30.03015504
826	30.06028219
827	30.09088798
828	30.12198747
829	30.15358854
830	30.18568440
831	30.21825652
832	30.25128611
833	30.28475597
834	30.31864884
835	30.35293014
836	30.38753562
837	30.42237619
838	30.45734404
839	30.49231752
840	30.52717115
841	30.56178162
842	30.59603701
843	30.62985072
844	30.66317122
845	30.69597916
846	30.72826914
847	30.76005084
848	30.79134717
849	30.82219229
850	30.85263181
851	30.88272156
852	30.91251702
853	30.94205895
854	30.97136969
855	31.00045463
856	31.02930995
857	31.05792464
858	31.08625229
859	31.11428136
860	31.14198032
861	31.16932336
862	31.19627389
863	31.22278082
864	31.24877214
865	31.27416012
866	31.29886121
867	31.32280668
868	31.34594540
869	31.36825621
870	31.38974746
871	31.41045268
872	31.43043052
873	31.44975890
874	31.46853353
875	31.48686462
876	31.50487173
877	31.52266938
878	31.54036429
879	31.55805602
880	31.57584077
881	31.59383100
882	31.61215970
883	31.63096410
884	31.65035360
885	31.67037691
886	31.69103080
887	31.71227981
888	31.73407957
889	31.75638944
890	31.77917365
891	31.80240068
892	31.82604978
893	31.85010123
894	31.87452739
895	31.89929936
896	31.92438635
897	31.94976138
898	31.97540972
899	32.00132242
900	32.02750126
901	32.05396151
902	32.08072466
903	32.10780690
904	32.13521795
905	32.16292158
906	32.19083549
907	32.21886984
908	32.24695484
909	32.27505574
910	32.30316822
911	32.33130820
912	32.35950486
913	32.38780388
914	32.41626276
915	32.44495267
916	32.47395757
917	32.50336767
918	32.53325336
919	32.56365200
920	32.59455696
921	32.62591514
922	32.65763605
923	32.68961263
924	32.72173726
925	32.75391090
926	32.78604589
927	32.81807897
928	32.84997986
929	32.88175323
930	32.91341669
931	32.94498372
932	32.97645127
933	33.00781407
934	33.03906159
935	33.07018190
936	33.10117428
937	33.13205032
938	33.16284207
939	33.19359473
940	33.22436061
941	33.25519017
942	33.28613966
943	33.31729376
944	33.34876403
945	33.38067895
946	33.41316515
947	33.44633811
948	33.48028836
949	33.51507755
950	33.55073886
951	33.58726704
952	33.62460487
953	33.66264840
954	33.70126028
955	33.74030991
956	33.77968372
957	33.81929592
958	33.85911837
959	33.89917429
960	33.93957472
961	33.98046290
962	34.02201205
963	34.06437421
964	34.10762945
965	34.15175105
966	34.19661302
967	34.24200528
968	34.28765251
969	34.33326490
970	34.37856654
971	34.42333654
972	34.46737815
973	34.51051118
974	34.55259674
975	34.59355824
976	34.63337680
977	34.67213848
978	34.70999360
979	34.74708975
980	34.78353277
981	34.81937271
982	34.85458501
983	34.88904951
984	34.92254320
985	34.95472599
986	34.98513885
987	35.01329059
988	35.03871632
989	35.06112620
990	35.08041847
991	35.09670227
992	35.11026414
993	35.12161151
994	35.13127214
995	35.13981249
996	35.14796150
997	35.15650102
998	35.16623552
999	35.17762772
