#	timestep	msd
1	0.00216287
2	0.00859677
3	0.01914154
4	0.03354511
5	0.05148404
6	0.07258696
7	0.09645802
8	0.12269819
9	0.15092286
10	0.18077541
11	0.21193658
12	0.24412988
13	0.27712323
14	0.31072757
15	0.34479370
16	0.37920808
17	0.41388800
18	0.44877657
19	0.48383748
20	0.51904958
21	0.55440112
22	0.58988382
23	0.62548833
24	0.66120117
25	0.69700268
26	0.73286578
27	0.76875559
28	0.80463048
29	0.84044447
30	0.87615071
31	0.91170471
32	0.94706667
33	0.98220235
34	1.01708381
35	1.05169089
36	1.08601222
37	1.12004513
38	1.15379475
39	1.18727256
40	1.22049489
41	1.25348126
42	1.28625284
43	1.31883086
44	1.35123401
45	1.38347696
46	1.41556952
47	1.44751741
48	1.47932318
49	1.51098748
50	1.54251061
51	1.57389326
52	1.60513687
53	1.63624339
54	1.66721527
55	1.69805560
56	1.72876894
57	1.75936227
58	1.78984543
59	1.82023113
60	1.85053484
61	1.88077434
62	1.91096861
63	1.94113654
64	1.97129580
65	2.00146132
66	2.03164438
67	2.06185197
68	2.09208668
69	2.12234729
70	2.15262907
71	2.18292457
72	2.21322415
73	2.24351606
74	2.27378593
75	2.30401686
76	2.33419065
77	2.36428895
78	2.39429402
79	2.42418985
80	2.45396238
81	2.48359965
82	2.51309158
83	2.54243036
84	2.57161087
85	2.60063073
86	2.62948906
87	2.65818560
88	2.68672061
89	2.71509566
90	2.74331465
91	2.77138417
92	2.79931310
93	2.82711176
94	2.85479085
95	2.88236032
96	2.90982886
97	2.93720327
98	2.96448882
99	2.99168951
100	3.01880847
101	3.04584816
102	3.07281005
103	3.09969487
104	3.12650257
105	3.15323303
106	3.17988675
107	3.20646503
108	3.23296939
109	3.25940155
110	3.28576386
111	3.31205969
112	3.33829371
113	3.36447162
114	3.39059917
115	3.41668154
116	3.44272279
117	3.46872516
118	3.49468894
119	3.52061239
120	3.54649215
121	3.57232341
122	3.59810018
123	3.62381538
124	3.64946185
125	3.67503317
126	3.70052419
127	3.72593059
128	3.75124878
129	3.77647592
130	3.80160993
131	3.82664947
132	3.85159362
133	3.87644215
134	3.90119517
135	3.92585350
136	3.95041954
137	3.97489743
138	3.99929325
139	4.02361462
140	4.04787068
141	4.07207076
142	4.09622320
143	4.12033368
144	4.14440396
145	4.16843079
146	4.19240659
147	4.21632001
148	4.24015786
149	4.26390621
150	4.28755094
151	4.31107808
152	4.33447489
153	4.35773041
154	4.38083630
155	4.40378703
156	4.42657973
157	4.44921338
158	4.47168816
159	4.49400626
160	4.51617256
161	4.53819510
162	4.56008438
163	4.58185235
164	4.60351104
165	4.62507204
166	4.64654497
167	4.66793782
168	4.68925663
169	4.71050654
170	4.73169229
171	4.75281839
172	4.77388937
173	4.79491016
174	4.81588617
175	4.83682387
176	4.85773093
177	4.87861622
178	4.89948907
179	4.92035843
180	4.94123166
181	4.96211423
182	4.98300914
183	5.00391742
184	5.02483982
185	5.04577754
186	5.06673163
187	5.08770066
188	5.10867931
189	5.12965865
190	5.15062762
191	5.17157473
192	5.19249061
193	5.21336975
194	5.23421103
195	5.25501457
196	5.27577795
197	5.29649616
198	5.31716357
199	5.33777653
200	5.35833441
201	5.37883915
202	5.39929368
203	5.41970053
204	5.44006184
205	5.46038031
206	5.48065950
207	5.50090377
208	5.52111674
209	5.54130075
210	5.56145682
211	5.58158554
212	5.60168824
213	5.62176754
214	5.64182837
215	5.66187713
216	5.68192139
217	5.70196929
218	5.72202907
219	5.74210853
220	5.76221470
221	5.78235329
222	5.80252877
223	5.82274463
224	5.84300358
225	5.86330724
226	5.88365626
227	5.90405039
228	5.92448825
229	5.94496709
230	5.96548286
231	5.98603024
232	6.00660216
233	6.02719026
234	6.04778427
235	6.06837252
236	6.08894281
237	6.10948330
238	6.12998380
239	6.15043682
240	6.17083772
241	6.19118320
242	6.21147062
243	6.23169682
244	6.25185796
245	6.27194970
246	6.29196819
247	6.31191083
248	6.33177711
249	6.35156823
250	6.37128645
251	6.39093464
252	6.41051590
253	6.43003334
254	6.44948935
255	6.46888615
256	6.48822795
257	6.50752336
258	6.52678660
259	6.54603447
260	6.56528190
261	6.58454087
262	6.60382256
263	6.62313887
264	6.64250290
265	6.66192728
266	6.68142344
267	6.70100018
268	6.72066314
269	6.74041432
270	6.76025121
271	6.78016734
272	6.80015250
273	6.82019404
274	6.84027789
275	6.86038976
276	6.88051525
277	6.90064137
278	6.92075712
279	6.94085379
280	6.96092514
281	6.98096620
282	7.00097281
283	7.02094130
284	7.04086817
285	7.06074964
286	7.08058087
